Tiempo	Pila1	Pila2	Tipo
0	1217	1288	Rayovac
1	1181	1248	Rayovac
2	1077	1170	Rayovac
3	1040	1138	Rayovac
4	1043	1099	Rayovac
5	1004	1047	Rayovac
6	949	968	Rayovac
7	873	870	Rayovac
8	780	740	Rayovac
9	641	618	Rayovac
10	62	62	Rayovac
11	50	58	Rayovac
0	1419	1450	Duracell
1	1359	1393	Duracell
2	1284	1296	Duracell
3	1222	1235	Duracell
4	1173	1178	Duracell
5	1103	1106	Duracell
6	877	814	Duracell
7	156	138	Duracell
8	107	112	Duracell
9	89	84	Duracell
10	71	78	Duracell
11	61	75	Duracell
0	1430	1308	Varta
1	1207	1150	Varta
2	1112	1052	Varta
3	1056	993	Varta
4	1025	953	Varta
5	992	917	Varta
6	952	818	Varta
7	870	805	Varta
8	246	172	Varta
9	96	77	Varta
10	69	65	Varta
11	64	60	Varta
0	1286	1268	Energizer
1	1102	1060	Energizer
2	1036	995	Energizer
3	1000	962	Energizer
4	972	940	Energizer
5	934	905	Energizer
6	874	853	Energizer
7	759	763	Energizer
8	166	109.2	Energizer
9	75.4	70.4	Energizer
10	62.6	66	Energizer
11	60.1	65.1	Energizer
0	1276	1212	Eveready
1	1086	1001	Eveready
2	1034	955	Eveready
3	992	910	Eveready
4	959	879	Eveready
5	886	844	Eveready
6	825	788	Eveready
7	693	679	Eveready
8	118.8	142.4	Eveready
9	75.5	75.1	Eveready
10	64.7	64.3	Eveready
11	61.2	61.5	Eveready
0	1217	1279	Panasonic
1	1005	1044	Panasonic
2	943	980	Panasonic
3	897	958	Panasonic
4	871	930	Panasonic
5	804	879	Panasonic
6	718	823	Panasonic
7	602	736	Panasonic
8	718	612	Panasonic
9	602	95.5	Panasonic
10	117.6	73	Panasonic
11	81.7	70.3	Panasonic
