ID,Group,log_growth,time1
1,Control,2.79,152
1,Control,3.1,174
1,Control,3.3,201
1,Control,3.38,227
2,Control,3.3,152
2,Control,3.9,174
2,Control,4.34,201
2,Control,4.96,227
3,Control,3.98,152
3,Control,4.36,174
3,Control,4.79,201
3,Control,4.99,227
4,Control,4.36,152
4,Control,4.77,174
4,Control,5.1,201
4,Control,5.3,227
5,Control,4.34,152
5,Control,4.95,174
5,Control,5.42,201
5,Control,5.97,227
6,Control,4.59,152
6,Control,5.08,174
6,Control,5.36,201
6,Control,5.76,227
7,Control,4.41,152
7,Control,4.56,174
7,Control,4.95,201
7,Control,5.23,227
8,Control,4.24,152
8,Control,4.64,174
8,Control,4.95,201
8,Control,5.38,227
9,Control,4.82,152
9,Control,5.17,174
9,Control,5.76,201
9,Control,6.12,227
10,Control,3.84,152
10,Control,4.17,174
10,Control,4.67,201
10,Control,4.67,227
11,Control,4.07,152
11,Control,4.31,174
11,Control,4.9,201
11,Control,5.1,227
12,Control,4.28,152
12,Control,4.8,174
12,Control,5.27,201
12,Control,5.55,227
13,Ozone,4.53,152
13,Ozone,5.05,174
13,Ozone,5.18,201
13,Ozone,5.41,227
14,Ozone,4.97,152
14,Ozone,5.32,174
14,Ozone,5.83,201
14,Ozone,6.29,227
15,Ozone,4.37,152
15,Ozone,4.81,174
15,Ozone,5.03,201
15,Ozone,5.19,227
16,Ozone,4.58,152
16,Ozone,4.99,174
16,Ozone,5.37,201
16,Ozone,5.68,227
17,Ozone,4,152
17,Ozone,4.5,174
17,Ozone,4.92,201
17,Ozone,5.44,227
18,Ozone,4.73,152
18,Ozone,5.05,174
18,Ozone,5.33,201
18,Ozone,5.92,227
19,Ozone,5.15,152
19,Ozone,5.63,174
19,Ozone,6.11,201
19,Ozone,6.39,227
20,Ozone,4.1,152
20,Ozone,4.46,174
20,Ozone,4.84,201
20,Ozone,5.29,227
21,Ozone,4.56,152
21,Ozone,5.12,174
21,Ozone,5.4,201
21,Ozone,5.69,227
22,Ozone,5.16,152
22,Ozone,5.49,174
22,Ozone,5.74,201
22,Ozone,6.05,227
23,Ozone,5.46,152
23,Ozone,5.79,174
23,Ozone,6.12,201
23,Ozone,6.41,227
24,Ozone,4.52,152
24,Ozone,4.91,174
24,Ozone,5.04,201
24,Ozone,5.71,227
