Person	Gender	Age	Time1	Time2	Time3
1	F	43	50.40	61.79	57.19
2	F	31	52.19	68.36	57.91
3	F	31	53.81	53.51	57.18
4	F	31	43.80	61.33	63.95
5	F	42	69.83	53.95	68.87
6	M	37	52.53	57.21	64.34
7	M	31	62.54	63.44	60.68
8	M	47	57.26	53.15	55.51
9	F	29	55.72	57.90	53.96
10	F	27	56.78	57.19	57.26
11	F	45	60.00	61.05	61.07
12	F	42	50.40	61.83	57.19
13	F	29	52.19	68.30	57.91
14	M	30	53.81	53.32	57.18
15	M	30	43.80	64.31	63.95
16	M	31	62.83	53.97	60.87
17	M	37	52.53	57.20	61.34
18	M	38	62.54	60.44	63.68
19	M	29	57.26	51.15	55.51
20	M	33	55.72	59.90	53.96
21	F	33	56.78	53.19	57.26
22	F	34	60.06	64.05	62.07
23	M	35	66.05	52.27	68.36
24	F	36	67.02	53.82	53.31
